track0,track2,track4,track6,track8,track10,track12,track14,track16,track18,speedX,angleToTrackAxis,trackPosition,distanceFromStartLine,steering,acceleration,brake
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33533,8.42556,14.3652,26.3739,61.4497,67.9033,14.8992,7.45929,4.25293,3.66492,5.72366E-4,-0.00780505,-0.333651,5759.1,0.20247116684913635,0.5600000023841858,0.0
7.33545,8.42292,14.3513,26.3244,61.1747,68.7647,14.9342,7.46682,4.25425,3.66504,-5.37861E-4,-0.0083844,-0.333651,5759.1,0.2017335146665573,0.5600000023841858,0.0
7.33533,8.42347,14.355,26.3377,61.2477,68.5393,14.9255,7.46509,4.25377,3.66492,0.101553,-0.0082342,-0.333651,5759.1,0.20192475616931915,0.5600000023841858,0.0
7.33533,8.42355,14.355,26.3379,61.2497,68.5328,14.9253,7.46511,4.25393,3.66504,0.100325,-0.00822895,-0.333651,5759.1,0.201931431889534,0.5600000023841858,0.0
7.33533,8.42399,14.3567,26.3432,61.2812,68.4236,14.9206,7.46407,4.25396,3.66516,0.10122,-0.00815743,-0.333651,5759.1,0.2020225077867508,0.5600000023841858,0.0
7.33533,8.42293,14.3522,26.3275,61.1889,68.7176,14.9326,7.46659,4.25419,3.66504,0.586915,-0.00835389,-0.333651,5759.1,0.20177236199378967,0.5600000023841858,0.0
7.33545,8.42318,14.3521,26.3266,61.1842,68.7392,14.9328,7.46633,4.25394,3.66492,1.08833,-0.00837153,-0.333696,5759.11,0.20177854597568512,0.5600000023841858,0.0
